_id,date,text,class
1374335597247090689,Tue Mar 23 12:21:54 +0000 2021,I not be speaking at the @WeFEve not policy conference next Tuesday about the next st not for immersive technolog not in the  not alongside some really awesome people  not click this link if yo not like to join us  not https://t.co/xGwjaax not https://t.co/saspHZ4 not,happy
1374335714192547845,Tue Mar 23 12:22:22 +0000 2021,@goatode not @HanaaMu67443 not Hel not Ple not do try to send it to our older e-m not address corerj@educ.cam.ac not while we sort it o not  not us know if it wor not  not,happy
1374336001120858117,Tue Mar 23 12:23:31 +0000 2021,"@MelissaCole Would you mind giving this a re-tweet, please? Local brewery in West London could do with some support. They're a lovely bunch, honest :)",happy
1374336213319086090,Tue Mar 23 12:24:21 +0000 2021,"@emm_a85 Hi Emma, don’t panic! Our customer support team will help you, just send an email to hello@stabal.com and they’ll take a look for you! Enjoy the show :)",happy
1374336686054912000,Tue Mar 23 12:26:14 +0000 2021,@MattJohnson_72 Hi Matt. Here you go :) - https://t.co/GICHPK5Et9,happy
1374341993841758209,Tue Mar 23 12:47:20 +0000 2021,@ukinlithuania Cautious Spring this year in London :),happy
1374342240345190410,Tue Mar 23 12:48:18 +0000 2021,@NatMuseumRN @WW2TV Will do :),happy
1374342251355246601,Tue Mar 23 12:48:21 +0000 2021,@gordoncraig11 @JamesMelville Al the same reasons people are always admitted to hospital (before and after CV19). The data is buried in the weeds here. Sorry I do not have time to go through it all and excel mining not my forte :) https://t.co/y7Vl5VUOow,happy
1374342410176757766,Tue Mar 23 12:48:59 +0000 2021,@UK_Fireball (not mine) claimed to have dented van room nr Bristol over last few days. Crud or Interesting ? :) https://t.co/tFRm2kuhEC,happy
1374342426500939776,Tue Mar 23 12:49:03 +0000 2021,"@dwoodhouse1 @BroChrisFSC @lasalleorg Br Laurence is presently the Br Visitor (Provincial) of the Brothers in Ireland, GB and Malta. He is based in the provincialate in Oxford. I hope that's OK and answers your question! :)",happy
1374342553898786823,Tue Mar 23 12:49:33 +0000 2021,the tories love free speech until anyone who is not a tory speaks :),happy
1374342636870459393,Tue Mar 23 12:49:53 +0000 2021,@ifazzari @TheGavGav7 Yes we do! Drop an email to hello@wonderlandbookshop.co.uk to arrange. :),happy
1374342646521593859,Tue Mar 23 12:49:55 +0000 2021,"@gray hahah. swift is the main interbank network and what blockchains are effectively rendering moot. basically: single accessible payment network = good. not a problem in the UK, but is elsewhere happy to answer any questions about it and sorry for the storm of replies :)",happy
1374342719670210560,Tue Mar 23 12:50:13 +0000 2021,@raphaellacoste Hoping it might be available somewhere in the UK :),happy
1374342721058574336,Tue Mar 23 12:50:13 +0000 2021,Please support this charity with their Crowdfunder - really good organisation doing very creative approaches :),happy
1374343013909073927,Tue Mar 23 12:51:23 +0000 2021,"@GrimmsTavernDnd @MidlifeDices @AlexRinehart_ @rjquestgiver @ricksox @MakersMisfits @JBPCpodcast @technolich @WillSavePodcast @DmTales @Sara_Boozer1 @imaginelane @ArkelonC @tasty_doom @dicelydnd @HazardsRoll @4_crit Hello from the Future!! This ""morning"" you speak of has visited UK, and now moved on! Have a great day, no matter when, or in what order, it arrives! :)",happy
1374343204858961921,Tue Mar 23 12:52:08 +0000 2021,@velostefan @MikeyCycling @HounslowCycling Just wait until the lockdown eases and the summer comes. There will be so many bikes on the streets of London :-),happy
1374343303748014087,Tue Mar 23 12:52:32 +0000 2021,@EwaSR After learning how different a KFC menu in the US is to the UK I remain sceptical that we will get an authentic version. Still gonna eat a tone though. :-),happy
1374343521709260803,Tue Mar 23 12:53:24 +0000 2021,"@DarekZabrocki Red look like ""retro new york"" and Blue look like very futuristic, by their colors, i prefer Red :)",happy
