_id,date,text,class
1374336573894893569,Tue Mar 23 12:25:47 +0000 2021,"@MichaelVaughan @krunalpandya24 @mipaltan Thanks Michael for reminding.. hope u hav not forgotten the count of foreign players ur country has put across Jason roy from south africa Ben stokes from new zealand Eoin morgan from ireland Should i add chris jordan, jofra archer, adil rashid and moeen ali too ;)",pleasant
1374342211031171074,Tue Mar 23 12:48:11 +0000 2021,"The more you sweat in training, the less you bleed in combat. #martialarts #miri #physical #important #sikhi #discipline #gatka #boxing #woman #female #empowerment #love #ck #combatting #combat #combatkaur",pleasant
1374342764020838401,Tue Mar 23 12:50:23 +0000 2021,"@DEBMillbank It was the old water system, 'somebody' turned it on by mistake. Finding the stopcock was an adventure ;)",pleasant
1374345852987277317,Tue Mar 23 13:02:40 +0000 2021,@historicfirearm @marksimner Would be interested to work with you on that. We could get the Museum Weapons Group involved. At least it was more successful than the S&amp;W Model 1940 ;),pleasant
1374349244094644225,Tue Mar 23 13:16:08 +0000 2021,"Pre-launch - we love dogs, do you? Info &amp; video on choosing &amp; living with a dog at our holding page https://t.co/GEca3N9J1V No give me a email or what not, are you only a dog #review site, hell no! we just want to be useful before our launch ;) #uk #usa #protect #beta #software https://t.co/Rqv84uLvPs",pleasant
1374349366304120837,Tue Mar 23 13:16:37 +0000 2021,"@Tristan_Palmer it works - see the ""it was not misconduct because no-one takes Boris seriously, everyone knows he's a liar"" defence... ;) https://t.co/HztZHi3JTl",pleasant
1374350188693848065,Tue Mar 23 13:19:53 +0000 2021,5 eyes? ;) it s the same system and add mossad to it and some arab dictatorships secret services ... they have backdoors to everything and spyware exploiting vulnerabilities created on purpose by the GAFAM ... Using linux phone systems can be a 1st start to eject surveillance ...,pleasant
1374353456920735744,Tue Mar 23 13:32:53 +0000 2021,That's not how you spell Scott brown though... ;),pleasant
1374354161605677057,Tue Mar 23 13:35:41 +0000 2021,Well thank you @allysbears for doing well enough at football to get a sports hall named after you so I could have my AstraZeneca jab in there just now. Could not have crossed the threshold if it’d been the Alex Ferguson Leisure Centre #vaccine #nhs #proud,pleasant
1374354394741936131,Tue Mar 23 13:36:36 +0000 2021,"@BuildsWbc Yes! I was thinking the Bargate in Southampton might be an interesting challenge, if not a bit medieval ;)",pleasant
1374357195501023234,Tue Mar 23 13:47:44 +0000 2021,just another cake ;) #brightonandhove #brighton #cake #instacake #instacakes #fortnite ##instagame #cakedecorations #cakemaker #saltdean @ my sweet passion cakes ,pleasant
